Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976788.220338,1616976788.229862,338,9.523868560791016,0,19,19243,18,5,16486,1921,
1616976788.233502,1616976788.242465,339,8.96310806274414,0,19,19238,18,5,16481,1921,
1616976788.245479,1616976788.255071,340,9.591817855834961,0,19,19248,18,5,16491,1921,
1616976788.258371,1616976788.268854,341,10.4827880859375,0,19,19250,18,5,16493,1921,
1616976788.272344,1616976788.280623,342,8.278846740722656,0,19,19240,18,5,16483,1921,
1616976788.284332,1616976788.29317,343,8.83793830871582,0,19,19240,18,5,16483,1921,
1616976788.296145,1616976788.304397,344,8.252143859863281,0,19,19239,18,5,16482,1921,
1616976788.307928,1616976788.316713,345,8.785009384155273,0,19,19240,18,5,16483,1921,
1616976788.320566,1616976788.328775,346,8.208990097045898,0,19,19248,18,5,16491,1921,
1616976788.331967,1616976788.340864,347,8.896827697753906,0,19,19245,18,5,16488,1921,
1616976788.34383,1616976788.354404,348,10.573863983154297,0,19,19248,18,5,16491,1921,
1616976788.357347,1616976788.363972,349,6.624937057495117,0,19,19242,18,5,16485,1921,
1616976788.367204,1616976788.375077,350,7.873058319091797,0,19,19245,18,5,16488,1921,
1616976788.377883,1616976788.387926,351,10.043144226074219,0,19,19242,18,5,16485,1921,
1616976788.391718,1616976788.401517,352,9.799003601074219,0,19,19241,18,5,16484,1921,
1616976788.405094,1616976788.413904,353,8.810043334960938,0,19,19245,18,5,16488,1921,
1616976788.417079,1616976788.425377,354,8.297920227050781,0,19,19241,18,5,16484,1921,
1616976788.42851,1616976788.436778,355,8.268117904663086,0,19,19240,18,5,16483,1921,
1616976788.440492,1616976788.449386,356,8.893966674804688,0,19,19242,18,5,16485,1921,
1616976788.452308,1616976788.462244,357,9.936094284057617,0,19,19240,18,5,16483,1921,
1616976788.465053,1616976788.474485,358,9.431838989257812,0,19,19249,18,5,16492,1921,
1616976788.4806,1616976788.489777,359,9.176969528198242,0,19,19245,18,5,16488,1921,
1616976788.493381,1616976788.502167,360,8.78596305847168,0,19,19244,18,5,16487,1921,
1616976788.506042,1616976788.516269,361,10.226964950561523,0,21,19394,18,7,16487,1983,
1616976788.519868,1616976788.529272,362,9.404182434082031,0,19,19249,18,5,16492,1921,
1616976788.532973,1616976788.541973,363,9.000062942504883,0,19,19250,18,5,16493,1921,
1616976788.545109,1616976788.554652,364,9.54294204711914,0,19,19244,18,5,16487,1921,
1616976788.557719,1616976788.565676,365,7.956981658935547,0,19,19246,18,5,16489,1921,
1616976788.569542,1616976788.579138,366,9.596109390258789,0,21,19423,20,5,16578,1921,
1616976788.582907,1616976788.591997,367,9.089946746826172,0,19,19239,18,5,16482,1921,
1616976788.595946,1616976788.605721,368,9.774923324584961,0,19,19248,18,5,16491,1921,
1616976788.608481,1616976788.617311,369,8.830070495605469,0,19,19241,18,5,16484,1921,
1616976788.621056,1616976788.630347,370,9.290933609008789,0,19,19238,18,5,16481,1921,
1616976788.633397,1616976788.64158,371,8.183002471923828,0,19,19240,18,5,16483,1921,
1616976788.645788,1616976788.654634,372,8.846044540405273,0,19,19238,18,5,16481,1921,
1616976788.658365,1616976788.66666,373,8.295059204101562,0,19,19248,18,5,16491,1921,
1616976788.669832,1616976788.677149,374,7.317066192626953,0,19,19246,18,5,16489,1921,
1616976788.680717,1616976788.689071,375,8.353948593139648,0,19,19243,18,5,16486,1921,
1616976788.692538,1616976788.701933,376,9.39488410949707,0,19,19239,18,5,16482,1921,
1616976788.704776,1616976788.714372,377,9.595870971679688,0,19,19238,18,5,16481,1921,
1616976788.717154,1616976788.725079,378,7.9250335693359375,0,19,19239,18,5,16482,1921,
1616976788.727779,1616976788.737243,379,9.464025497436523,0,19,19244,18,5,16487,1921,
1616976788.74016,1616976788.749115,380,8.955001831054688,0,19,19247,18,5,16490,1921,
1616976788.75306,1616976788.762195,381,9.135007858276367,0,19,19250,18,5,16493,1921,
1616976788.76489,1616976788.773598,382,8.708000183105469,0,19,19243,18,5,16486,1921,
1616976788.776341,1616976788.785744,383,9.402990341186523,0,19,19243,18,5,16486,1921,
1616976788.789086,1616976788.799612,384,10.525941848754883,0,21,19423,20,5,16578,1921,
1616976788.802731,1616976788.811697,385,8.96596908569336,0,19,19239,18,5,16482,1921,
1616976788.815098,1616976788.822882,386,7.7838897705078125,0,19,19248,18,5,16491,1921,
1616976788.826898,1616976788.836012,387,9.113788604736328,0,19,19239,18,5,16482,1921,
