Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976500.154085,1616976500.161192,578,7.107019424438477,0,16,15725,15,5,13100,1921,
1616976500.163847,1616976500.170196,579,6.349086761474609,0,16,15730,15,5,13105,1921,
1616976500.174025,1616976500.180654,580,6.628990173339844,0,16,15726,15,5,13101,1921,
1616976500.18389,1616976500.192849,581,8.958816528320312,0,16,15722,15,5,13097,1921,
1616976500.196106,1616976500.203702,582,7.596015930175781,0,16,15727,15,5,13102,1921,
1616976500.207227,1616976500.214263,583,7.035970687866211,0,16,15722,15,5,13097,1921,
1616976500.217566,1616976500.225978,584,8.411884307861328,0,16,15732,15,5,13107,1921,
1616976500.229376,1616976500.237028,585,7.651805877685547,0,16,15724,15,5,13099,1921,
1616976500.239985,1616976500.247483,586,7.498025894165039,0,16,15732,15,5,13107,1921,
1616976500.250913,1616976500.258023,587,7.110118865966797,0,16,15727,15,5,13102,1921,
1616976500.261031,1616976500.267884,588,6.8531036376953125,0,16,15727,15,5,13102,1921,
1616976500.27117,1616976500.277416,589,6.246089935302734,0,16,15729,15,5,13104,1921,
1616976500.280802,1616976500.286882,590,6.079912185668945,0,16,15730,15,5,13105,1921,
1616976500.289942,1616976500.296831,591,6.888866424560547,0,16,15727,15,5,13102,1921,
1616976500.300196,1616976500.307119,592,6.92296028137207,0,16,15723,15,5,13098,1921,
1616976500.310822,1616976500.318884,593,8.061885833740234,0,16,15722,15,5,13097,1921,
1616976500.322224,1616976500.330585,594,8.361101150512695,0,16,15732,15,5,13107,1921,
1616976500.334431,1616976500.341634,595,7.203102111816406,0,16,15721,15,5,13096,1921,
1616976500.344425,1616976500.35209,596,7.664918899536133,0,18,15908,17,5,13195,1921,
1616976500.355139,1616976500.362471,597,7.332086563110352,0,16,15726,15,5,13101,1921,
1616976500.366219,1616976500.374158,598,7.938861846923828,0,16,15729,15,5,13104,1921,
1616976500.37761,1616976500.384378,599,6.767988204956055,0,16,15730,15,5,13105,1921,
1616976500.38765,1616976500.39601,600,8.359909057617188,0,16,15724,15,5,13099,1921,
1616976500.399279,1616976500.407619,601,8.339881896972656,0,16,15727,15,5,13102,1921,
1616976500.410964,1616976500.41801,602,7.045984268188477,0,16,15728,15,5,13103,1921,
1616976500.421051,1616976500.429379,603,8.327960968017578,0,16,15727,15,5,13102,1921,
1616976500.433192,1616976500.440918,604,7.725954055786133,0,16,15723,15,5,13098,1921,
1616976500.444314,1616976500.453063,605,8.749008178710938,0,16,15721,15,5,13096,1921,
1616976500.456987,1616976500.464113,606,7.126092910766602,0,16,15731,15,5,13106,1921,
1616976500.467823,1616976500.476276,607,8.452892303466797,0,16,15723,15,5,13098,1921,
1616976500.479148,1616976500.487678,608,8.530139923095703,0,16,15730,15,5,13105,1921,
1616976500.491519,1616976500.498783,609,7.264137268066406,0,16,15732,15,5,13107,1921,
1616976500.502705,1616976500.51056,610,7.854938507080078,0,16,15727,15,5,13102,1921,
1616976500.513507,1616976500.520356,611,6.849050521850586,0,16,15722,15,5,13097,1921,
1616976500.523266,1616976500.530322,612,7.055997848510742,0,16,15723,15,5,13098,1921,
1616976500.533657,1616976500.540711,613,7.053852081298828,0,16,15721,15,5,13096,1921,
1616976500.544654,1616976500.551961,614,7.3070526123046875,0,16,15727,15,5,13102,1921,
1616976500.555867,1616976500.562264,615,6.397008895874023,0,16,15727,15,5,13102,1921,
1616976500.565804,1616976500.573484,616,7.679939270019531,0,16,15729,15,5,13104,1921,
1616976500.576922,1616976500.584901,617,7.979154586791992,0,16,15732,15,5,13107,1921,
1616976500.588274,1616976500.596148,618,7.874011993408203,0,16,15731,15,5,13106,1921,
1616976500.599218,1616976500.606253,619,7.035017013549805,0,16,15733,15,5,13108,1921,
1616976500.609803,1616976500.617226,620,7.422924041748047,0,16,15731,15,5,13106,1921,
1616976500.620227,1616976500.627194,621,6.966829299926758,0,16,15731,15,5,13106,1921,
1616976500.630007,1616976500.637782,622,7.775068283081055,0,16,15724,15,5,13099,1921,
1616976500.640821,1616976500.647968,623,7.147073745727539,0,16,15722,15,5,13097,1921,
