Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616977205.131743,1616977205.138702,208,6.958961486816406,0,11,8930,10,5,6525,1921,
1616977205.142372,1616977205.14908,209,6.7081451416015625,0,11,8934,10,5,6529,1921,
1616977205.152213,1616977205.159053,210,6.839990615844727,0,11,8925,10,5,6520,1921,
1616977205.162626,1616977205.168914,211,6.288051605224609,0,11,8932,10,5,6527,1921,
1616977205.17177,1616977205.178967,212,7.196903228759766,0,11,8928,10,5,6523,1921,
1616977205.181779,1616977205.187733,213,5.95402717590332,0,11,8934,10,5,6529,1921,
1616977205.190466,1616977205.197303,214,6.837129592895508,0,11,8930,10,5,6525,1921,
1616977205.200657,1616977205.206782,215,6.125211715698242,0,11,8925,10,5,6520,1921,
1616977205.209671,1616977205.215087,216,5.415916442871094,0,11,8927,10,5,6522,1921,
1616977205.218386,1616977205.225279,217,6.893157958984375,0,11,8934,10,5,6529,1921,
1616977205.228312,1616977205.235189,218,6.876945495605469,0,11,8929,10,5,6524,1921,
1616977205.23922,1616977205.244989,219,5.769014358520508,0,11,8930,10,5,6525,1921,
1616977205.249376,1616977205.256469,220,7.092952728271484,0,11,8925,10,5,6520,1921,
1616977205.259891,1616977205.266361,221,6.469964981079102,0,11,8928,10,5,6523,1921,
1616977205.269398,1616977205.275073,222,5.675077438354492,0,11,8933,10,5,6528,1921,
1616977205.278061,1616977205.283143,223,5.082130432128906,0,11,8928,10,5,6523,1921,
1616977205.286438,1616977205.292861,224,6.422996520996094,0,11,8929,10,5,6524,1921,
1616977205.295983,1616977205.30351,225,7.526874542236328,0,11,8934,10,5,6529,1921,
1616977205.307284,1616977205.314243,226,6.958961486816406,0,11,8927,10,5,6522,1921,
1616977205.317178,1616977205.323266,227,6.088018417358398,0,11,8926,10,5,6521,1921,
1616977205.32693,1616977205.334191,228,7.261037826538086,0,11,8926,10,5,6521,1921,
1616977205.33734,1616977205.343493,229,6.152868270874023,0,11,8929,10,5,6524,1921,
1616977205.347726,1616977205.354357,230,6.630897521972656,0,11,8929,10,5,6524,1921,
1616977205.35769,1616977205.363526,231,5.836009979248047,0,11,8935,10,5,6530,1921,
1616977205.367503,1616977205.373749,232,6.246089935302734,0,11,8932,10,5,6527,1921,
1616977205.377475,1616977205.383484,233,6.00886344909668,0,11,8922,10,5,6517,1921,
1616977205.386382,1616977205.393075,234,6.6928863525390625,0,11,8930,10,5,6525,1921,
1616977205.395949,1616977205.402103,235,6.154060363769531,0,11,8934,10,5,6529,1921,
1616977205.405429,1616977205.41175,236,6.321191787719727,0,11,8933,10,5,6528,1921,
1616977205.415586,1616977205.422631,237,7.04503059387207,0,11,8923,10,5,6518,1921,
1616977205.42599,1616977205.432238,238,6.247997283935547,0,11,8922,10,5,6517,1921,
1616977205.436083,1616977205.442473,239,6.389856338500977,0,11,8930,10,5,6525,1921,
1616977205.446567,1616977205.452953,240,6.386041641235352,0,11,8931,10,5,6526,1921,
1616977205.456017,1616977205.463153,241,7.135868072509766,0,11,8931,10,5,6526,1921,
1616977205.467117,1616977205.47366,242,6.54292106628418,0,11,8930,10,5,6525,1921,
1616977205.477177,1616977205.482645,243,5.468130111694336,0,11,8920,10,5,6515,1921,
1616977205.486111,1616977205.493323,244,7.212162017822266,0,11,8919,10,5,6514,1921,
1616977205.496359,1616977205.502926,245,6.5670013427734375,0,11,8931,10,5,6526,1921,
1616977205.505944,1616977205.51281,246,6.865978240966797,0,11,8926,10,5,6521,1921,
1616977205.516059,1616977205.521574,247,5.515098571777344,0,11,8924,10,5,6519,1921,
1616977205.524537,1616977205.530751,248,6.213903427124023,0,11,8922,10,5,6517,1921,
1616977205.533516,1616977205.538771,249,5.254983901977539,0,11,8925,10,5,6520,1921,
1616977205.541818,1616977205.547791,250,5.973100662231445,0,11,8925,10,5,6520,1921,
1616977205.55067,1616977205.557976,251,7.306098937988281,0,11,8934,10,5,6529,1921,
1616977205.561479,1616977205.567657,252,6.1779022216796875,0,11,8919,10,5,6514,1921,
1616977205.571198,1616977205.578612,253,7.414102554321289,0,11,8920,10,5,6515,1921,
1616977205.581791,1616977205.588222,254,6.431102752685547,0,11,8929,10,5,6524,1921,
1616977205.591815,1616977205.598449,255,6.633996963500977,0,11,8922,10,5,6517,1921,
1616977205.601536,1616977205.607611,256,6.0749053955078125,0,11,8925,10,5,6520,1921,
1616977205.61113,1616977205.617841,257,6.711006164550781,0,11,8923,10,5,6518,1921,
1616977205.620682,1616977205.626226,258,5.543947219848633,0,11,8921,10,5,6516,1921,
1616977205.628824,1616977205.635263,259,6.438970565795898,0,11,8932,10,5,6527,1921,
1616977205.639278,1616977205.644911,260,5.633115768432617,0,11,8931,10,5,6526,1921,
1616977205.648853,1616977205.655306,261,6.453037261962891,0,11,8934,10,5,6529,1921,
1616977205.65931,1616977205.665504,262,6.193876266479492,0,11,8929,10,5,6524,1921,
1616977205.669358,1616977205.675199,263,5.84101676940918,0,11,8933,10,5,6528,1921,
1616977205.679274,1616977205.686044,264,6.769895553588867,0,11,8932,10,5,6527,1921,
1616977205.689517,1616977205.69579,265,6.273031234741211,0,11,8930,10,5,6525,1921,
1616977205.699647,1616977205.706024,266,6.376981735229492,0,11,8934,10,5,6529,1921,
1616977205.709573,1616977205.716176,267,6.603002548217773,0,11,8929,10,5,6524,1921,
1616977205.719205,1616977205.725679,268,6.474018096923828,0,11,8932,10,5,6527,1921,
1616977205.72856,1616977205.736047,269,7.487058639526367,0,11,8928,10,5,6523,1921,
1616977205.73976,1616977205.746811,270,7.050991058349609,0,11,8929,10,5,6524,1921,
1616977205.749998,1616977205.756401,271,6.4029693603515625,0,11,8931,10,5,6526,1921,
1616977205.759851,1616977205.766665,272,6.814002990722656,0,11,8932,10,5,6527,1921,
1616977205.770291,1616977205.77625,273,5.958795547485352,0,11,8922,10,5,6517,1921,
1616977205.779386,1616977205.785943,274,6.556987762451172,0,11,8930,10,5,6525,1921,
1616977205.78961,1616977205.79622,275,6.61015510559082,0,11,8932,10,5,6527,1921,
1616977205.799749,1616977205.806934,276,7.185220718383789,0,11,8925,10,5,6520,1921,
1616977205.809701,1616977205.81552,277,5.819082260131836,0,11,8927,10,5,6522,1921,
1616977205.818337,1616977205.824705,278,6.367921829223633,0,11,8929,10,5,6524,1921,
1616977205.828687,1616977205.83587,279,7.183074951171875,0,11,8927,10,5,6522,1921,
1616977205.841005,1616977205.84719,280,6.184816360473633,0,11,8935,10,5,6530,1921,
