Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
172,4.678964614868164,0,12,6392,8,8,3955,1909,
173,3.523111343383789,0,12,6391,8,8,3954,1909,
174,3.677845001220703,0,12,6398,8,8,3961,1909,
175,3.687143325805664,0,12,6396,8,8,3959,1909,
176,3.7059783935546875,0,12,6387,8,8,3950,1909,
177,4.261016845703125,0,12,6391,8,8,3954,1909,
178,3.3080577850341797,0,12,6387,8,8,3950,1909,
179,3.7178993225097656,0,12,6394,8,8,3957,1909,
180,3.6978721618652344,0,12,6397,8,8,3960,1909,
181,3.5910606384277344,0,12,6391,8,8,3954,1909,
182,3.47900390625,0,12,6393,8,8,3956,1909,
183,4.315853118896484,0,12,6397,8,8,3960,1909,
184,3.5889148712158203,0,12,6392,8,8,3955,1909,
185,3.5741329193115234,0,12,6397,8,8,3960,1909,
186,3.2949447631835938,0,12,6395,8,8,3958,1909,
187,3.832101821899414,0,12,6393,8,8,3956,1909,
188,3.4639835357666016,0,12,6398,8,8,3961,1909,
189,3.2079219818115234,0,12,6391,8,8,3954,1909,
190,3.5369396209716797,0,12,6388,8,8,3951,1909,
191,3.493785858154297,0,12,6392,8,8,3955,1909,
192,3.60107421875,0,12,6399,8,8,3962,1909,
193,3.749847412109375,0,12,6390,8,8,3953,1909,
194,4.969120025634766,0,12,6387,8,8,3950,1909,
195,3.4198760986328125,0,12,6387,8,8,3950,1909,
196,3.5140514373779297,0,12,6393,8,8,3956,1909,
197,4.141092300415039,0,12,6393,8,8,3956,1909,
198,3.5800933837890625,0,12,6396,8,8,3959,1909,
199,3.6649703979492188,0,12,6388,8,8,3951,1909,
200,3.4999847412109375,0,12,6393,8,8,3956,1909,
201,3.899097442626953,0,12,6398,8,8,3961,1909,
202,3.5560131072998047,0,12,6390,8,8,3953,1909,
203,3.8099288940429688,0,12,6388,8,8,3951,1909,
204,3.5829544067382812,0,12,6399,8,8,3962,1909,
205,3.3049583435058594,0,12,6397,8,8,3960,1909,
206,3.592967987060547,0,12,6397,8,8,3960,1909,
207,3.377199172973633,0,12,6396,8,8,3959,1909,
208,3.5860538482666016,0,12,6394,8,8,3957,1909,
