Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
273,6.506204605102539,0,9,7432,8,5,5115,1921,
274,8.736133575439453,0,9,7429,8,5,5112,1921,
275,7.849931716918945,0,9,7433,8,5,5116,1921,
276,8.633136749267578,0,9,7435,8,5,5118,1921,
277,9.307861328125,0,9,7428,8,5,5111,1921,
278,8.231163024902344,0,9,7434,8,5,5117,1921,
279,7.357120513916016,0,9,7428,8,5,5111,1921,
280,9.182929992675781,0,9,7432,8,5,5115,1921,
281,8.84103775024414,0,9,7424,8,5,5107,1921,
282,6.955862045288086,0,9,7432,8,5,5115,1921,
283,7.740974426269531,0,9,7430,8,5,5113,1921,
284,6.273984909057617,0,9,7432,8,5,5115,1921,
285,8.22901725769043,0,9,7431,8,5,5114,1921,
286,7.4329376220703125,0,9,7424,8,5,5107,1921,
287,9.826183319091797,0,9,7427,8,5,5110,1921,
288,10.313987731933594,0,9,7436,8,5,5119,1921,
289,7.408857345581055,0,9,7430,8,5,5113,1921,
290,6.42704963684082,0,9,7433,8,5,5116,1921,
291,9.618997573852539,0,9,7435,8,5,5118,1921,
292,9.252071380615234,0,9,7435,8,5,5118,1921,
293,6.936073303222656,0,9,7427,8,5,5110,1921,
294,6.770849227905273,0,9,7428,8,5,5111,1921,
295,7.537126541137695,0,9,7433,8,5,5116,1921,
296,6.984949111938477,0,9,7426,8,5,5109,1921,
297,6.670951843261719,0,9,7426,8,5,5109,1921,
298,7.9059600830078125,0,9,7432,8,5,5115,1921,
299,7.831096649169922,0,9,7428,8,5,5111,1921,
300,8.774995803833008,0,9,7433,8,5,5116,1921,
301,8.689165115356445,0,9,7432,8,5,5115,1921,
302,9.186983108520508,0,9,7424,8,5,5107,1921,
303,8.22305679321289,0,9,7425,8,5,5108,1921,
304,8.2550048828125,0,9,7429,8,5,5112,1921,
305,8.867979049682617,0,9,7430,8,5,5113,1921,
306,7.52711296081543,0,9,7427,8,5,5110,1921,
307,8.587121963500977,0,9,7429,8,5,5112,1921,
308,8.426189422607422,0,9,7434,8,5,5117,1921,
309,8.643150329589844,0,9,7432,8,5,5115,1921,
310,8.388996124267578,0,9,7428,8,5,5111,1921,
311,9.048223495483398,0,9,7434,8,5,5117,1921,
312,8.498907089233398,0,9,7433,8,5,5116,1921,
313,8.33892822265625,0,9,7427,8,5,5110,1921,
314,7.858991622924805,0,9,7431,8,5,5114,1921,
315,7.852077484130859,0,9,7435,8,5,5118,1921,
316,8.90493392944336,0,9,7430,8,5,5113,1921,
317,8.298158645629883,0,9,7430,8,5,5113,1921,
318,8.733034133911133,0,9,7433,8,5,5116,1921,
319,8.437871932983398,0,9,7434,8,5,5117,1921,
320,10.60795783996582,0,9,7429,8,5,5112,1921,
321,7.939815521240234,0,9,7425,8,5,5108,1921,
322,7.9860687255859375,0,9,7424,8,5,5107,1921,
323,8.055925369262695,0,9,7428,8,5,5111,1921,
324,8.993864059448242,0,9,7430,8,5,5113,1921,
325,8.61811637878418,0,9,7430,8,5,5113,1921,
326,8.944034576416016,0,9,7434,8,5,5117,1921,
327,8.703947067260742,0,9,7431,8,5,5114,1921,
328,9.588003158569336,0,9,7436,8,5,5119,1921,
329,10.816097259521484,0,9,7432,8,5,5115,1921,
330,9.287118911743164,0,9,7434,8,5,5117,1921,
331,8.674860000610352,0,9,7431,8,5,5114,1921,
332,9.155035018920898,0,9,7434,8,5,5117,1921,
333,9.567975997924805,0,9,7433,8,5,5116,1921,
334,9.210824966430664,0,9,7435,8,5,5118,1921,
335,8.754968643188477,0,9,7427,8,5,5110,1921,
