Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-05-18 13:13:05.641151,1621343585.641151,7.1,,13.2,750559232,0.0,0,82.8,41314123776,
2021-05-18 13:13:06.644252,1621343586.644252,8.6,,13.2,750559232,0.0,0,82.8,41314123776,
2021-05-18 13:13:07.667796,1621343587.667796,0.5,,13.2,750559232,0.0,0,82.8,41314123776,
2021-05-18 13:13:08.673060,1621343588.67306,1.0,,13.2,750559232,0.0,0,82.8,41314123776,
2021-05-18 13:13:09.895145,1621343589.895145,2.1,,13.2,750559232,0.0,0,82.8,41314123776,
2021-05-18 13:13:10.972557,1621343590.972557,1.9,,13.2,750804992,0.0,0,82.8,41314123776,
2021-05-18 13:13:12.001269,1621343592.001269,3.9,,13.2,750772224,0.0,0,82.8,41314127872,
2021-05-18 13:13:13.004260,1621343593.00426,2.0,,13.2,750768128,0.0,0,82.8,41314127872,
2021-05-18 13:13:14.006343,1621343594.006343,1.0,,13.2,750768128,0.0,0,82.8,41314127872,
2021-05-18 13:13:15.011107,1621343595.011107,6.1,,13.2,750768128,0.0,0,82.8,41314127872,
2021-05-18 13:13:16.013168,1621343596.013168,11.6,,13.2,750755840,0.0,0,82.8,41314131968,
2021-05-18 13:13:17.024635,1621343597.024635,8.6,,13.2,750755840,0.0,0,82.8,41314131968,
2021-05-18 13:13:18.028091,1621343598.028091,1.5,,13.2,750755840,0.0,0,82.8,41314131968,
2021-05-18 13:13:19.030713,1621343599.030713,6.2,,13.2,750755840,0.0,0,82.8,41314131968,
2021-05-18 13:13:20.036661,1621343600.036661,5.1,,13.2,750825472,0.0,0,82.8,41314131968,
2021-05-18 13:13:21.045370,1621343601.04537,4.0,,13.2,750772224,0.0,0,82.8,41314136064,
2021-05-18 13:13:22.055738,1621343602.055738,3.0,,13.2,750772224,0.0,0,82.8,41314136064,
2021-05-18 13:13:23.059443,1621343603.059443,4.1,,13.2,750772224,0.0,0,82.8,41314140160,
2021-05-18 13:13:24.063571,1621343604.063571,3.5,,13.2,750768128,0.0,0,82.8,41314140160,
2021-05-18 13:13:25.071999,1621343605.071999,6.6,,13.2,750768128,0.0,0,82.8,41314140160,
2021-05-18 13:13:26.074462,1621343606.074462,20.8,,13.2,751284224,0.0,0,82.8,41314140160,
2021-05-18 13:13:27.077514,1621343607.077514,12.6,,13.2,751276032,0.0,0,82.8,41314140160,
2021-05-18 13:13:28.080507,1621343608.080507,8.7,,13.2,751276032,0.0,0,82.8,41314140160,
2021-05-18 13:13:29.084607,1621343609.084607,13.2,,13.2,751276032,0.0,0,82.8,41314140160,
2021-05-18 13:13:30.088989,1621343610.088989,11.7,,13.2,751009792,0.0,0,82.8,41314140160,
2021-05-18 13:13:31.093889,1621343611.093889,5.1,,13.2,751005696,0.0,0,82.8,41314144256,
2021-05-18 13:13:32.095017,1621343612.095017,10.2,,13.2,751259648,0.0,0,82.8,41314148352,
2021-05-18 13:13:33.098229,1621343613.098229,10.6,,13.2,751259648,0.0,0,82.8,41314148352,
2021-05-18 13:13:34.100480,1621343614.10048,6.2,,13.2,751259648,0.0,0,82.8,41314148352,
2021-05-18 13:13:35.103470,1621343615.10347,6.1,,13.2,751259648,0.0,0,82.8,41314148352,
2021-05-18 13:13:36.174460,1621343616.17446,2.9,,13.2,751251456,0.0,0,82.8,41314148352,
2021-05-18 13:13:37.190900,1621343617.1909,1.0,,13.2,751251456,0.0,0,82.8,41314148352,
2021-05-18 13:13:38.215220,1621343618.21522,0.5,,13.2,751251456,0.0,0,82.8,41314148352,
2021-05-18 13:13:39.240874,1621343619.240874,0.5,,13.2,751251456,0.0,0,82.8,41314148352,
2021-05-18 13:13:40.243876,1621343620.243876,4.0,,13.2,750731264,0.0,0,82.8,41314148352,
2021-05-18 13:13:41.246397,1621343621.246397,3.6,,13.2,750727168,0.0,0,82.8,41314152448,
2021-05-18 13:13:42.279926,1621343622.279926,9.9,,13.2,750723072,0.0,0,82.8,41314156544,
2021-05-18 13:13:43.283033,1621343623.283033,1.0,,13.2,750723072,0.0,0,82.8,41314156544,
2021-05-18 13:13:44.286854,1621343624.286854,1.5,,13.2,750755840,0.0,0,82.8,41314156544,
2021-05-18 13:13:45.291041,1621343625.291041,1.5,,13.2,750755840,0.0,0,82.8,41314156544,
2021-05-18 13:13:46.298629,1621343626.298629,2.5,,13.2,750747648,0.0,0,82.8,41314156544,
2021-05-18 13:13:47.300889,1621343627.300889,3.0,,13.2,750747648,0.0,0,82.8,41314156544,
2021-05-18 13:13:48.304298,1621343628.304298,2.0,,13.2,750747648,0.0,0,82.8,41314156544,
2021-05-18 13:13:49.308471,1621343629.308471,2.0,,13.2,750747648,0.0,0,82.8,41314156544,
2021-05-18 13:13:50.313264,1621343630.313264,11.9,,13.2,750772224,0.0,0,82.8,41314156544,
2021-05-18 13:13:51.323905,1621343631.323905,4.7,,13.2,750768128,0.0,0,82.8,41314160640,
