Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065168.102326,1617065168.111556,556,9.23013687133789,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065168.115276,1617065168.126661,557,11.384963989257812,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.130913,1617065168.140661,558,9.747982025146484,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.144112,1617065168.152256,559,8.143901824951172,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.155852,1617065168.165582,560,9.729862213134766,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065168.168776,1617065168.176791,561,8.014917373657227,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.180762,1617065168.191208,562,10.445833206176758,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065168.194958,1617065168.203435,563,8.476972579956055,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.2074,1617065168.213758,564,6.357908248901367,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065168.216729,1617065168.225217,565,8.488178253173828,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.228468,1617065168.236697,566,8.22901725769043,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065168.240398,1617065168.249145,567,8.747100830078125,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065168.252935,1617065168.262167,568,9.232044219970703,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065168.265791,1617065168.272763,569,6.972074508666992,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065168.276565,1617065168.28404,570,7.4748992919921875,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.289073,1617065168.295386,571,6.313085556030273,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065168.298656,1617065168.306074,572,7.417917251586914,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065168.309039,1617065168.315954,573,6.914854049682617,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.319491,1617065168.329182,574,9.690999984741211,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.332662,1617065168.341143,575,8.48078727722168,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065168.344931,1617065168.357329,576,12.398004531860352,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.360921,1617065168.370066,577,9.145021438598633,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065168.373854,1617065168.381014,578,7.160186767578125,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065168.384626,1617065168.392974,579,8.34798812866211,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065168.396229,1617065168.405168,580,8.939027786254883,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065168.408795,1617065168.418416,581,9.620904922485352,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065168.421284,1617065168.429699,582,8.414983749389648,0,9,7425,8,5,5108,1921,,0.0,0,0,
1617065168.432707,1617065168.441518,583,8.810997009277344,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065168.444523,1617065168.453263,584,8.739948272705078,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065168.456611,1617065168.464173,585,7.562160491943359,0,9,7424,8,5,5107,1921,,0.0,0,0,
