Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065849.216774,1617065849.225892,1079,9.118080139160156,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065849.247703,1617065849.255819,1080,8.116006851196289,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065849.275526,1617065849.285067,1081,9.541034698486328,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065849.305955,1617065849.314623,1082,8.668184280395508,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065849.335194,1617065849.344453,1083,9.25898551940918,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065849.364777,1617065849.373678,1084,8.900880813598633,10,9,7427,8,5,5110,1921,,0.0,0,0,
1617065849.548743,1617065849.558047,1085,9.304046630859375,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065849.729219,1617065849.73793,1086,8.711099624633789,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065849.75893,1617065849.772649,1087,13.71908187866211,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065849.79382,1617065849.803009,1088,9.189128875732422,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065849.824464,1617065849.832659,1089,8.194923400878906,10,11,7900,10,5,5495,1921,,0.0,0,0,
1617065849.852515,1617065849.86317,1090,10.654926300048828,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065849.882669,1617065849.892514,1091,9.84501838684082,10,9,7436,8,5,5119,1921,,0.0,0,0,
1617065849.914796,1617065849.923469,1092,8.672952651977539,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065849.944149,1617065849.953301,1093,9.151935577392578,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065849.97256,1617065849.981055,1094,8.495092391967773,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065850.002539,1617065850.010913,1095,8.37397575378418,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065850.034125,1617065850.043217,1096,9.091854095458984,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065850.065433,1617065850.073915,1097,8.481979370117188,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065850.095196,1617065850.104174,1098,8.977890014648438,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065850.124848,1617065850.133523,1099,8.675098419189453,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065850.154829,1617065850.16181,1100,6.98089599609375,10,9,7424,8,5,5107,1921,,0.0,0,0,
1617065850.183134,1617065850.192428,1101,9.29403305053711,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065850.213494,1617065877.177397,1102,26963.902950286865,10,32,8749,8,28,4292,3049,,0.0,0,0,
1617065850.258542,1617065850.267424,1103,8.88204574584961,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065850.287195,1617065850.296076,1104,8.881092071533203,10,9,7433,8,5,5116,1921,,0.0,0,0,
1617065850.317461,1617065850.327093,1105,9.631872177124023,10,8,7341,8,4,5109,1880,,0.0,0,0,
1617065850.797863,1617065850.80768,1106,9.816884994506836,10,8,7349,8,4,5117,1880,,0.0,0,0,
1617065850.825994,1617065850.834119,1107,8.125066757202148,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065850.854602,1617065850.863955,1108,9.352922439575195,10,8,7351,8,4,5119,1880,,0.0,0,0,
1617065850.885277,1617065850.893671,1109,8.394002914428711,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065850.915664,1617065850.924039,1110,8.374929428100586,10,8,7349,8,4,5117,1880,,0.0,0,0,
